# BASE	VAL1
# colour	250:0:0
1	-9.31
4	-10.31
7	-10.01
10	-10.01
13	-10.01
16	-8.52
19	-6.67
22	-8.66
25	-8.14
28	-8.14
31	-8.14
34	-8.14
37	-8.14
40	-8.14
43	-7.97
46	-2.92
49	-2.92
52	-1.08
55	-0.49
58	-0.49
61	-0.13
64	-1.03
67	-2.97
70	-2.97
73	-2.97
76	-2.97
79	-3.29
82	-3.29
85	-2.97
88	-3.51
91	-4.48
94	-5.34
97	-7.74
100	-6.32
103	-8.59
106	-9.80
109	-12.98
112	-17.74
115	-15.50
118	-13.49
121	-12.82
124	-11.51
127	-9.43
130	-7.62
133	-7.71
136	-9.06
139	-3.49
142	-6.88
145	-7.67
148	-7.76
151	-7.76
154	-8.97
157	-9.29
160	-7.22
163	-8.96
166	-7.13
169	-8.35
172	-4.81
175	-5.56
178	-6.57
181	-9.04
184	-9.52
187	-9.52
190	-9.52
193	-9.82
196	-9.20
199	-9.18
202	-10.49
205	-10.49
208	-10.48
211	-10.16
214	-9.18
217	-7.38
220	-7.38
223	-8.19
226	-10.28
229	-10.91
232	-14.00
235	-14.00
238	-11.33
241	-11.33
244	-13.13
247	-13.45
250	-13.45
253	-13.36
256	-12.10
259	-9.73
262	-9.55
265	-9.51
268	-9.51
271	-10.51
274	-10.37
277	-11.45
280	-15.18
283	-15.18
286	-11.99
289	-10.41
292	-11.50
295	-11.50
298	-8.12
301	-9.65
304	-9.64
307	-10.30
310	-9.62
313	-9.08
316	-6.54
319	-6.59
322	-6.88
325	-6.54
328	-5.56
331	-5.85
334	-7.32
337	-5.29
340	-5.92
343	-3.64
346	-3.57
349	-4.51
352	-8.40
355	-9.27
358	-9.27
361	-11.12
364	-11.12
367	-11.80
370	-11.80
373	-16.00
376	-11.78
379	-11.38
382	-11.30
385	-10.98
388	-9.75
391	-9.75
394	-9.75
397	-4.76
400	-5.38
403	-5.93
406	-4.35
409	-4.90
412	-5.15
415	-4.23
418	-7.16
421	-6.58
424	-8.66
427	-6.58
430	-9.31
433	-9.53
436	-9.46
439	-9.31
442	-9.31
445	-9.31
448	-8.05
451	-8.05
454	-8.05
457	-10.10
460	-9.91
463	-8.86
466	-8.86
469	-10.28
472	-9.72
475	-9.72
478	-9.72
481	-11.90
484	-12.26
487	-9.86
490	-8.68
493	-7.95
496	-8.64
499	-7.99
502	-10.97
505	-9.07
508	-10.05
511	-11.31
514	-10.81
517	-11.16
520	-11.16
523	-9.95
526	-10.97
529	-11.23
532	-8.55
535	-8.64
538	-9.74
541	-9.11
544	-11.20
547	-9.87
550	-8.55
553	-9.09
556	-8.64
559	-9.79
562	-9.90
565	-10.45
568	-9.73
571	-10.20
574	-10.52
577	-11.32
580	-12.17
583	-12.38
586	-8.65
589	-9.11
592	-11.51
595	-9.85
598	-9.00
601	-11.87
604	-9.57
607	-9.11
610	-9.30
613	-7.37
616	-7.41
619	-7.37
622	-7.37
625	-7.28
628	-7.78
631	-7.39
634	-6.64
637	-5.05
640	-8.02
643	-8.35
646	-8.35
649	-6.19
652	-6.97
655	-7.35
658	-7.97
661	-9.03
664	-9.54
667	-9.54
670	-9.03
673	-13.09
676	-11.22
679	-6.81
682	-6.56
685	-7.17
688	-7.17
691	-8.85
694	-8.04
697	-7.98
700	-5.30
703	-5.30
